#not used anymore - TS 48 V - 1xxx;;;;;;;;;;;;;;;;;;
#TS HV 30-80 E - 2xxx;TS HV 50 E Hybrid - 5xxx;;;;;;;;;;;;;;;;;
#TS-I HV 80/100 E - 3xxx;FORTON - 6xxx - TESVOLT TAYTAN - 7xxx;;;;;;;;;;;;;;;;;
,productId,productName,SystemVariation,capacity,usablecapacity,power,dischargingPower,inverter,numberOfInverters,Island,Backup,PeakLoadShaving,Multi-Use,outdoor,readMoreLink,productImage,name_productList,PortalProductCatalogId,price
0,2001,TS HV 30-80 E,TS HV 30 E,32.0,32.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 32 kWh 30 kW,772480018,26379
1,2002,TS HV 30-80 E,TS HV 50 E,56.0,56.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 56 kWh 30 kW,772480018,34940
2,2003,TS HV 30-80 E,TS HV 50 E,56.0,56.0,50.0,50.0,SMA STPS X 50,1,0,0,1,1,0,,,TS HV 30-80 E - 56 kWh 50 kW,772480018,37560
3,2004,TS HV 30-80 E,TS HV 30 E,64.0,64.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 64 kWh 30 kW,772480018,44254
4,2005,TS HV 30-80 E,TS HV 30 E,64.0,64.0,60.0,60.0,SMA STPS X 30,2,0,0,1,1,0,,,TS HV 30-80 E - 64 kWh 60 kW,772480018,51518
5,2006,TS HV 30-80 E,TS HV 80 E,80.0,80.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 80 kWh 30 kW,772480018,43374
6,2007,TS HV 30-80 E,TS HV 80 E,80.0,80.0,50.0,50.0,SMA STPS X 50,1,0,0,1,1,0,,,TS HV 30-80 E - 80 kWh 50 kW,772480018,45994
7,2008,TS HV 30-80 E,TS HV 50 E,112.0,112.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 112 kWh 30 kW,772480018,61376
8,2009,TS HV 30-80 E,TS HV 50 E,112.0,112.0,50.0,50.0,SMA STPS X 50,1,0,0,1,1,0,,,TS HV 30-80 E - 112 kWh 50 kW,772480018,63996
9,2010,TS HV 30-80 E,TS HV 50 E,112.0,112.0,60.0,60.0,SMA STPS X 30,2,0,0,1,1,0,,,TS HV 30-80 E - 112 kWh 60 kW,772480018,68640
10,2011,TS HV 30-80 E,TS HV 50 E,112.0,112.0,100.0,100.0,SMA STPS X 50,2,0,0,1,1,0,,,TS HV 30-80 E - 112 kWh 100 kW,772480018,73880
11,2012,TS HV 30-80 E,TS HV 80 E,160.0,160.0,30.0,30.0,SMA STPS X 30,1,0,0,1,1,0,,,TS HV 30-80 E - 160 kWh 30 kW,772480018,78244
12,2013,TS HV 30-80 E,TS HV 80 E,160.0,160.0,50.0,50.0,SMA STPS X 50,1,0,0,1,1,0,,,TS HV 30-80 E - 160 kWh 50 kW,772480018,80864
